zip_code,data_granularity,metric_window,currency,active_listings,estimated_monthly_revenue_usd,occupancy_rate_pct,average_daily_rate_usd,studio_estimated_monthly_revenue_usd,studio_occupancy_rate_pct,studio_average_daily_rate_usd,one_bed_estimated_monthly_revenue_usd,one_bed_occupancy_rate_pct,one_bed_average_daily_rate_usd,two_bed_estimated_monthly_revenue_usd,two_bed_occupancy_rate_pct,two_bed_average_daily_rate_usd,three_bed_estimated_monthly_revenue_usd,three_bed_occupancy_rate_pct,three_bed_average_daily_rate_usd,four_bed_estimated_monthly_revenue_usd,four_bed_occupancy_rate_pct,four_bed_average_daily_rate_usd
90254,zip_code_aggregate,rolling_30_day_avg,USD,308,1304.88,18,286,368.65,9,202,832.2,15.0,228.0,2132.51,22,369,3302.34,24.0,517.0,,,
90260,zip_code_aggregate,rolling_30_day_avg,USD,326,1317.65,22,228,1553.07,40,138,1377.88,33.0,151.0,1565.85,29,198,1149.75,18.0,252.0,1068.84,17.0,251.0
90265,zip_code_aggregate,rolling_30_day_avg,USD,210,780.188,8,513,992.8,15,272,1073.71,13.0,353.0,945.35,10,444,219.304,4.0,721.0,-793.875,0.0,870.0
90266,zip_code_aggregate,rolling_30_day_avg,USD,657,1724.62,17,405,832.2,15,228,1382.13,19.0,284.0,1898.0,18,416,2584.2,15.0,708.0,2176.31,12.0,795.0
90277,zip_code_aggregate,rolling_30_day_avg,USD,759,1706.38,25,255,1615.12,33,177,1503.8,27.0,206.0,1900.43,25,284,2808.68,22.0,486.0,2652.64,20.0,513.0
90278,zip_code_aggregate,rolling_30_day_avg,USD,210,782.925,14,234,85.1667,5,140,455.033,14.0,136.0,330.021,8,217,1460.0,19.0,300.0,2253.27,19.0,463.0
90280,zip_code_aggregate,rolling_30_day_avg,USD,313,1211.8,27,166,869.917,29,110,1352.02,38.0,127.0,726.35,15,199,699.583,13.0,230.0,,,
90290,zip_code_aggregate,rolling_30_day_avg,USD,472,1031.12,18,226,759.2,15,208,992.8,20.0,192.0,1202.07,16,304,1580.45,15.0,433.0,2544.05,20.0,492.0
90301,zip_code_aggregate,rolling_30_day_avg,USD,122,1199.03,21,219,1254.08,34,133,1070.67,25.0,160.0,1270.2,21,232,1222.14,17.0,287.0,520.125,9.0,285.0
90304,zip_code_aggregate,rolling_30_day_avg,USD,277,1232.79,24,193,1421.68,41,123,1440.53,35.0,148.0,1209.97,20,234,773.8,11.0,318.0,,,
90401,zip_code_aggregate,rolling_30_day_avg,USD,890,1277.5,18,280,1324.95,21,242,987.933,17.0,232.0,1542.12,18,338,414.275,6.0,454.0,,,
90404,zip_code_aggregate,rolling_30_day_avg,USD,280,1574.06,26,225,1402.51,32,159,1593.22,30.0,194.0,1884.31,24,295,2703.43,25.0,404.0,,,
90501,zip_code_aggregate,rolling_30_day_avg,USD,590,1156.14,24,181,217.175,9,119,951.737,24.0,149.0,3134.13,49,224,1113.25,18.0,244.0,1357.8,19.0,279.0
90502,zip_code_aggregate,rolling_30_day_avg,USD,194,1668.96,34,177,677.075,24,106,1131.5,34.0,120.0,2239.58,40,199,1866.97,36.0,186.0,1834.12,21.0,335.0
90503,zip_code_aggregate,rolling_30_day_avg,USD,427,1350.5,27,185,2401.7,59,141,1233.7,27.0,169.0,2668.76,44,214,519.517,10.0,244.0,1354.15,15.0,371.0
90504,zip_code_aggregate,rolling_30_day_avg,USD,149,2633.48,40,234,2224.68,56,138,1328.6,42.0,112.0,2118.52,38,199,3596.77,46.0,275.0,1199.94,18.0,263.0
90505,zip_code_aggregate,rolling_30_day_avg,USD,216,2248.4,47,168,-125.925,1,207,1805.53,59.0,106.0,858.967,11,353,859.879,14.0,257.0,3288.35,22.0,569.0
90640,zip_code_aggregate,rolling_30_day_avg,USD,147,1078.57,21,197,1067.62,33,117,696.237,24.0,109.0,1270.2,21,232,1073.1,17.0,252.0,1642.5,21.0,300.0
90650,zip_code_aggregate,rolling_30_day_avg,USD,169,1168.91,24,183,1547.6,56,96,1195.38,33.0,131.0,1232.79,24,193,1263.81,18.0,277.0,532.292,8.0,350.0
90660,zip_code_aggregate,rolling_30_day_avg,USD,106,765.283,20,148,265.538,12,97,709.317,25.0,106.0,1294.23,26,185,945.046,16.0,239.0,1470.95,16.0,372.0
90704,zip_code_aggregate,rolling_30_day_avg,USD,196,148.129,4,487,1080.7,14,323,121.971,4.0,401.0,282.267,5,464,163.337,4.0,537.0,362.567,5.0,596.0
90717,zip_code_aggregate,rolling_30_day_avg,USD,230,1643.11,40,146,1435.36,42,121,990.367,25.0,148.0,2131.6,51,146,6042.58,46.0,462.0,,,
90731,zip_code_aggregate,rolling_30_day_avg,USD,119,1846.9,26,264,2854.3,71,138,1502.58,41.0,130.0,884.213,20,171,2287.64,26.0,327.0,2263.0,19.0,465.0
90745,zip_code_aggregate,rolling_30_day_avg,USD,168,1129.07,32,128,1122.38,33,123,1122.07,34.0,119.0,1404.34,30,171,889.688,16.0,225.0,,,
90802,zip_code_aggregate,rolling_30_day_avg,USD,140,895.467,19,184,881.475,24,138,918.888,22.0,159.0,832.2,15,228,956.3,15.0,262.0,1396.73,19.0,287.0
90803,zip_code_aggregate,rolling_30_day_avg,USD,1240,1456.35,17,342,1387.0,23,228,1090.13,19.0,224.0,1414.38,18,310,1886.44,17.0,443.0,1175.3,9.0,644.0
90805,zip_code_aggregate,rolling_30_day_avg,USD,216,1745.92,38,164,2168.1,69,108,2000.81,49.0,143.0,1983.17,43,163,1416.81,20.0,274.0,1187.47,19.0,244.0
90806,zip_code_aggregate,rolling_30_day_avg,USD,607,1080.7,20,209,822.467,19,169,1146.1,27.0,157.0,1060.02,20,205,1430.8,19.0,294.0,,,
90808,zip_code_aggregate,rolling_30_day_avg,USD,353,1681.74,22,291,3376.25,78,148,1699.07,45.0,133.0,3087.29,38,290,1277.2,16.0,323.0,2427.25,24.0,380.0
90815,zip_code_aggregate,rolling_30_day_avg,USD,464,1259.25,18,276,2087.8,55,132,681.333,23.0,112.0,944.438,18,207,1756.56,18.0,385.0,1494.68,16.0,378.0
